"text"	"id"	"code"
" independent film written directed eric bross feel troubled blue collar youth films inundated market recent times hard independent film made hollywood home videocam debut film director tells personal story italians growing heavy jersey accents remaining tight grow young adults tale rewarding mind set characters depicted grounded story news love story simple girl waiting married luckless boyfriend turning nasty doesn relationship remained undeveloped introduction wise guy angle loyality buddies bit moving emotional experiences intelligent dramatics elevate film limited story line tour de force performance star film adrien brody ray ray son low level mobster arrested running illegal casino operation bloomfield jersey suburban basement ray sr vincent make running small scale home repair business son lives works unhappily shoe salesman dreaming rich quickly open business marry long time waitress girlfriend joanne sybil title film refers shoe size paul newman explaining film aware lot things film don make sense constant brainless chatter buddies uneventful growing pains despair lives make difficult feel empathy desperate make dream ray loanshark humorously menacingly played james moriarty borrows grand bet thing freehold raceway horse loses ray big problems loanshark muscle dough ray undependable spirited stupid friend mike gallagher narrator film chance sleep girlfriend cares director kidding thinks ray gambling debt dilemma pay story predictable expect happen buddies college student mike dependable butchie gillan man love hate relationship rally aid film ends obligatory artistic note ambiguity wannabe artistic films ray florida lonesome put life energy spark relevant superficial film interesting adrien brody showed signs future star intensity reminds sean penn "	1	"Negative"
" opinion film easily swayed presence actors love love ralph fiennes love uma thurman love sean connery hell big fan jim broadbent fiona shaw fantastic preview avengers months ago ve eagerly awaiting film months summer noticed release date changed times ended mid august dumping ground final week official release learned screened critics actors plugging film late night programs directed man brought remake diabolique expectations fell pieces learned things film today didn meet expectations lousy incoherent mess slam harder weren nifty sets mere presence fine lovable actors sets ultimately empty performances completely uninspired main problem avengers hip hop flash tidal waves feels bit energetic inspired chore bland exercise superhero film making feels cut pieces clocking minutes forgetting close subplots plain depressing avengers film version popular television show frequent readers mine surprised learn ve watched episode wasn alive don watch television don perspective judging reviews ve read knowing tv show makes matters worse didn love john steed emma peel upset actors love managed thrash roles doubt familiarity series understand chain events place film based film told gather steed fiennes kind british super guy james bond dr peel thurman smart doctor lot weather beating people limited tight leather suits work mother orders mother played jolly jim broadbent conspirator father played equally talented fiona shaw man controlling weather de wynter connery crazy scottish guy heroes stop weather colder hell warm film funny lines subplot subplot hinged sloppily scenes feel perfunctory ultimately make sense heroes eventually attacked swarm giant mechanical insects machineguns attached torsos killer bugs don weather controlling theme film purpose bugs annihilate heroes established directly connected de wynter controlled crazy henchman played eddie izzard special effects aren bad loud obnoxious intrusive scenes film present attention waning guarantee wane stopped thinking story realized didn good avengers chopped assembled times people involved couldn scenes preview didn make final cut addition sequences irritating grainy film quality makes feel low budget scene bad scenes don feature action electric wonderful cast aren action scenes electric action film aren wasted cast makes weep disappointment talking ralph fiennes actors working today actors love guy ve loved films understand film lost thurman spectacular beauty talent manage home don blame completely strange subplot involving evil twin explained easy deal terrible screenwriting connery totally lacking kind focus interest matter blame screenwriter don macpherson shell story good superhero movie handled actors god sake people lost interest inevitable path destruction film travelling blame director jeremiah chechik shouldn task begin film benny joon quirky supposed lot failed attempts wit humor add lack experience big budget action worst choice director side james ivory avengers saving grace set design sets stuart craig big colorful pleasing final set piece de wynter island makes bit sense admired overhead view stairs showing dr peel running circles enjoyed michael kamen music score opening credits stuff routine good sets music nice lot inspiration instance nice bit cohesion story sense purpose actors relish roles damn movie giving chance "	2	"Negative"
" films seattle film festival true men raft director orson welles recently uncovered fourth orson welle planned docu drama amazing stories world named true short dealt welle attempts document actions brazilian fisherman folk heroes fantastic voyage rio raft clips film short spend time recount welle attempts film studio problems staggering workload extremely ill fortune set impressive photography interesting film historians sadie thompson director raoul walsh screenwriter raoul walsh john colton play rain based somerset maugham story miss thompson cast gloria swanson raoul walsh lionel barrymore silent discussion newly restored version frank capra lost horizon scenes restored stills interested sadie thompson minutes film destroyed years ago silent version somerset maugham short story miss thompson skillful silent films awkwardness clever script actors gloria swanson raoul walsh directed wrote screenplay lionel barrymore hypocritical reformer supposedly save sadie soul sheets absolute epitome sanctimonious scoundrel swanson adds real life character adding worldly affectionate air bawdy sadie ending poorly tied difficult due lack live action film original script happy ending poorly tied maugham short story ended sadie hero moving australia stills expected fill conclusion ve waiting hour half entertaining end barrymore incredibly hammy performance nonetheless works due silent screen fed actions falwells bakkers robertses religious worlds movie worth find pied piper czechoslovakia director jim barta screenwriter kamil piza animated film czechoslovakia kids tells folk tale pied piper twist ending find highly lot political comment economic content word doesn show capitalism good light human nature matter guessed tgif film kind film glad wasn interesting technical reasons stop animation puppets carefully carved walnuts animated stuffed rats boy sounds real comedy vehicle doesn add set design makes cabinet doctor caligari absolutely cheerful comparison give wee mentally unstable larger folk night gore don bring children don bring adults fascinated puppetry hate capitalism badly enjoy wooden puppets raped blech fun whatsoever meier west germany director screenwriter peter timm cast rainier grenkowitz nadja engelbrecht alexander hauff thomas besvater titled film takes back east german west german border meier east german wallpaperer father west dies leaves good deal money uncle west sneaks meier country unknown east germans meier thrilled girlfriend friends job likes exist east germany round world trip boss leave bulgaria meier starts visiting east germany day visas fake id money connections west buy girlfriend presents bring credit work crew work living east germany wrong ending funny takes film long humor spread thin plot obvious acting good concept comedy minutes pretty funny hand man australia director di drew screenplay helen hodgman cast rupert everett hugo weaving arthur dignam jennifer claire catherine mcclements lifetime movie years attending seattle international film festival ve learned rules absolute deference wary french comedies people jerry lewis ken russell grow matter long wait film siff associate director gary tucker refers lead pouty lips worth watching australian film awards credit cinematography watch australia good cinematographers whazoo weir miller left foreign shores finding good script director difficult impossible witness malcolm year task rules night sat film golden turkey awards director classic romance stories tragedy gentry falling love people station horses lots lots horses film opens stallion mounting mare direction ladyship guess kind foreshadowing missus house son produce heir son reckless idiot faints worst times kills father loses arm racing accident highlights include amputation sequence doctor daughter hots son tasting urine diagnosis tender kissing window raining woman studying medicine photography good wishing sepia colored wished watching swimming cambodia life grade avoid plague inadvertent yuks "	3	"Negative"
"numerous comparisons made movie past sci fi suspense thrillers soldier multi crossbreed likes terminator aliens offspring problem mixed genes final product real mongrel made put production ground action mediocre compared standard action flicks day age fight scenes jason scott lee kurt russell laboured slow sluggish choreography russell good actor grade action flicks unusually hampered character sergeant todd sergeant toad dialogue character appears stunted zombie line screen persona scores points empathy audience movie made change opinion director paul anderson epic event horizon left unusually bitter taste mouth movie close strangeness long considered desirable "	4	"Negative"
"deuce bigalow rob schneider cleans fish tanks yeah didn real job customers antoine leconte oded fehr successful gigolo antoine sweden weeks lets deuce house ailing fish fooling deuce sets fire kitchen smashes fish tank taking antoine clients earning deuce decides prostitute raise money replace fish tank fiery tempered antoine returns enter eddie griffin pimp man whores arranges deuce service assortment women imperfections dating enormous woman played transvestite porn star chi chi la rue hides food clothes claire gail grady narcolepsy fall asleep minutes tina torsten voges tall face doesn fit screen ruth amy poehler tourette syndrome shouts obscenities warning finally kate arija bareikis sorority sisters secretly paid fare perfect deuce quickly falls love discover imperfection deuce decides isn important deuce life complicated bothersome cop william forsythe information antoine kate discovery man whoring threat generates suspense formula familiar end start deuce bigalow project adam sandler company happy madison formation assures ll sandler style comedy mass produced increasing rate years afraid afraid good news sandler doesn deuce rob schneider eddie griffin funnier sandler schneider sweetness makes clueless good hearted deuce believable griffin delivery dead coining technical terms profession don make bitch man slap expected amount toilet humor deuce thing deuce dad men room attendant age find bowel movements funny childhood fascination bodily functions disappears hit side puberty discover funny sex glad toilet trend finally flushed bottom line deuce doesn offer intermittently funny "	5	"Negative"
" dreamworks skg running time hours starring robert duvall tea leoni elijah wood directed mimi leder asteroid movies coming year macho armageddon dull affair elijah wood plays leo biederman astronomy class discovers large asteroid heading earth tea leoni plays crap news reporter jenny lerner discovers asteroid long winded boring robert duvall plays leader space crew spurgeon tanner planning blow asteroid path earth featuring morgan freeman president maximilian schell vanessa redgrave jenny father mother people walk film expecting big special effects fest asteroid blowing trailers promise film character study poor main problem characters film time explore space crew depth jenny lerner leo president surprisingly characters couldn care didn give crap asteroid killed script bruce joel rubin michael tolkin horribly simple makes interesting statements mimi leder er director director average peacemaker directs ho hum style emotion scene shame cast seemingly autopilot tea leoni good performance acts bit dorky good uncommonly stupid journalist robert duvall autopilot underwritten role film money elijah wood child actors working today surprisingly average choice roles haven brilliant flipper role vastly underwritten morgan freeman utterly wasted ridiculously underwritten role duvall film money supporting cast making impression deep impact messed character wise surely special effects good special effects impressive massive tidal wave destroying york special effects special effects sadly waves drawn computer doesn good surprising effects industrial light magic effects lost world twister end deep impact wasted opportunity moving movie good effects turns dud characters effects hours film greater effect dreamworks churned average movie hope armageddon bit rating review david wilcock web space provided geocities "	6	"Negative"
" great film stunning touching heart wrenching heart warming life affirming miraculous film opening moments life beautiful walks fine line tragedy uplifting comedy car brakes speeds town guido roberto benigni motions people move mistake fascist president traveling town day heil heil huh shortly president drives people stare blank faces standard fresh postmodern stuff clown jew triumphs anti semitic society lives granted the great dictator mind charlie chaplin masterpiece lib benigni wrote directed trumps gd essential point chaplin jewish barber great speech climax break completely character benigni similar situation mistaken fascist dignitary explain classroom filled schoolchildren scientists concluded aryans superior race benigni guido stays character delivers speech keeping subject matter intact showing absurdity concept great satirical scenes modern cinema scenes half bright loopy funny silly slapstick reigns film subtitled doubt universal language conveyed focus courtship guido dora played nicoletta braschi benigni real life wife silent undercurrent creeps racist society evidenced aforementioned scene affect family half film takes place years unnamed concentration camp guido dora insistence year son giosu giorgio cantarini deported guido horrors desperate protect wife child wife separated find ways communicate son controversial part film convinces youngster big elaborate game rules include hiding quiet learning seconds raises big questions deal pain persecution injustice worst level tragedies bring people finding strengths realize times deteriorate overwhelmed strength incentive swim people giggle moments vacant emotion yearning brightness soothe wounds benigni guido realizes clown fool sees slurs vandalism feeling weight verbal attacks audacity antagonists laugh liberty stripped dignity dignities obvious onset fascism preposterousness aryan nation grinning joyful demeanor form denial alternate reality muster unlike brazil great fortitude weapons wit purposes subject debate sign great dimensional characters stranded amidst terrifyingly risky concept surprisingly works important footnote film intended accurate reflection holocaust atrocities trivialized don broadcast explicitly shown muster horror benigni cautious preserve tone theory guido alternate reality criticism rewriting history holocaust wasn bad simply target benigni film won audience awards cannes toronto definite shoo foreign language film picture made honorary jew jerusalem film society swept italian academy awards controversy notwithstanding great films year writing beat film masterful miraculous "	7	"Positive"
"note screenwriters hit big time studios knocking scripts sitting bottom drawer em hit road gilligan wrote arbitrarily titled home fries ten years ago shelved found success gilligan comedy read wearing rose tinted glasses drew stars sally dim sweet pregnant waitress small town burger joint located southern united states father child dead victim severe heart attack brought sadistic torture stepsons flyboys scared low flying helicopter dorian wilson angus busey philandering ways behalf anguished mother hara trouble sally picked interference drive headset angus worries heard conversations place helicopter prior accidental killing dorian undercover burger flipper cheese falls mother bad mom angus homicidal plans sally sound movie doubt thing home fries barrymore risk sounding sexist looked curly redhead twinkling eyes winning role requires absolutely apple cheek cute gawk wilson real life boyfriend plot situations putting save movie desperately mentioned breath coen brothers home fries brand laboured hipness foreign geniuses ethan joel raising arizona babies charm laughs human characters intelligence worst creepy funny threatening gun pregnant woman machine gun woman question spice girl helicopters quasi incestuous relationship mother sons absolutely illogical movie framework dorian lives mother brother scenes murder attempted left story single woman child works fast food joint dreams country singer turn boring movie made home fries "	8	"Negative"
"disney animated feature retooling olympian legend crossed superman story surprisingly soft center great wit great art great villain james woods hades lord underworld local lounge act stifle yawns induced bland hero colorfully monotonous sidekick danny devito satyrical trainer phil largely unremarkable soundtrack alan menken david zippel tunes ly noteworthy lack lyrical snap memorable melodies boring ballads expect boring production numbers hercules bit long sit won stay bored highlights include nifty round animated action herc battling cgi hydra steady stream anachronisms call ix pop references ready rumble la aladdin long overdue jabs mouse marketing merchandising depart ments rock solid hunchback world improvement pocohontas directed ron clements john musker voice credits including tate donovan susan egan bob goldthwait matt frewer samantha eggar paul shaffer lighting bolt zeus rip torn good summer appearing trial error men black "	9	"Positive"
" oliver stone natural born killers movie incendiary david cronenberg called mainstream director repeatedly tiptoe fine line pointed social commentary outright social irresponsibility fincher films suffered lack shock major character killings alien fine examples fight club marks distillation pitch black comedic sensibility game definitive statement jack norton acting narrator protagonist typical cubicle clone disillusionment amplified seemingly incurable insomnia offhand advice doctor sits group therapy sessions blood parasites testicular cancer meets bob marvin lee aday aka meat loaf cancer emasculated eunuch profound gynecomastia strangely release finds sobbing bob breasts sleep night fellow group therapy tourist named marla singer carter ruin things forcing grudging compromise recalls monty python dark hilarity meets tyler durden pitt soap salesman decidedly subversive outlook life night ikea furnished condo explodes don ll movie awright goaded tyler fight damned doesn feel good pure raw existence moment clarity purpose makes dreary workaday life pale comparison moves tyler squalid abandoned mansion form titular organization underground therapy group men bond bare knuckle savagery rules don talk fight club armed charisma attractive anti corporate philosophy tyler assumes leadership burgeoning membership white collar slaves dead end mcemployees resentment creeps jack heart made worse fact tyler regularly noisily boffing hated marla funded frivolous lawsuit tyler begins molding devotees army dedicated mischief mayhem initially juvenile pranks pissing food putting spike belts roads quickly evolve sedition jack fears things sour point plenty uncomfortable wondering fincher original film uncorks disappointing plot twist contrived conventional compared precedes including ending interesting major fatal flaw director notoriously unpredictable fincher feels cop fight club misconstrued great people early downright dangerous feel violence civil disobedience good soul undoubtedly message moronic punks ll mightily surprised imitation fight clubs don spring ll amazed fincher isn vilified humorless witch hunters oliver stone needn bother fight club message movie fincher elaborate attempt joke tyler durden dionysian allure logical hypocritical extrapolation gurus constantly show oprah preach gospel actualization context joke works latest columbine joke people enjoy good laugh won silly moral outrage won spoil joke rest "	10	"Positive"
" exists litany differences successful action movie successful suspense movie action movies typically devoid plot simple byline string explosive sequences suspense movies hinge plot subtlety ability bring full circle fans genres realism key action fans weapons methods heroes authentic suspense fans fall explainable framework movie end advice director john frankenheimer island dr moreau strives realism interestingly dynamic balance suspense action latest thriller ronin depth intrigue ronin amazing fare fallen category years script written zeik big screen debut approaches levels complexity people spinning mission impossible years ago number people lost afficianados return multiple times frankenheimer masters script poise tells dark stoically realistic tale group post cold war mercenaries working earn paycheck ability convey feeling character promoting explosiveness tense atmosphere works ronin movie robert de niro headlines cast noteworthies performance outstanding time takes command offers gravity spy sam man called france shady operations controller named dierdre natascha mcelhone recover package package central motivator entire cast requisite double crossing begins role skillfully penned zeik times zeik tale reminiscent mission impossible de niro easily tom cruise package cruise computer disk fortunately focus package mission script concerned double cross happened action content impressive lives hints previews fans disappointed expect full blown combat scenes forced suffer moments slowness ronin degree intelligence follow nuance start finish uninitiated grasp characters mand subplots suspense tapers considerably end bit drawback height movie open factors good ronin project turned good bet month quality sparse early fall months worth visit "	11	"Positive"
" tired hot releases time video store wafflemovies dedicated finding hidden gems lie shelves everyweek wafflemovies reviews independent film big studio pictures deserve chance video sample review sarajevo light america recent intervention kosovo sarajevo reminder horror america world years set sarajevo based actual events picture examines human societal casualties war picture opens family escorting young bride wedding make street sniper shoots mother bride reminder daily life war torn sarajevo escape horror war scene meet joe flynn woody harrelson american reporter stops reporting priest carry mortally wounded mother church joe cocky good heart continues carry kind deeds people doesn fellow reporter british michael henderson stephen dillane michael quickly growing tired horror surrounds world lack interest henderson haunted memory altar boy witnesses mother death young girl finds orphaned hospital mortar attack citizens waiting line bread decides action united nations delegation descends area declare yugoslavia fourteenth dangerous place earth henderson begins series profiling orphanage located front lines finds children ages living fear taking care adult visits befriends pre teen girl emira emira nuseric serves surrogate mother baby roadrunner promises emira harm chance delegation leaves country rescuing children henderson loses hope reporting grabbed attention nina marisa tomei children aid group helps find homes yugoslavian orphans babies wanted adoption henderson pledges emira england group children nina henderson depart front lines dangerous escape italy complete dangerous trek war torn countryside avoid hostile troops gathering muslims concentration camps movie beautifully sensitively made director michael winterbottom screenwriter frank cottrell boyce vividly express societal destruction occurred show destroyed lives families split desolation attempts cope exemplified group yugoslavians henderson producer flynn befriended group twenty somethings reside bombed bar life simplest pleasures amenities accomplished musician spends days playing piano promising play concert sarajevo declared dangerous place earth rest deeply effected war small group survive live winterbottom brilliantly intersplices scenes actual news footage give film feel documentary viewer aware horrors carried thousands miles sit safely living room picture bolstered beautiful cinematography captures devastation city hosted olympics winterbottom boyce produce realistic portrayal reporters covering atrocities portrayal flattering reporters earlier wafflemovies selection mad city watch struggle cover horror remain professionally detached human question reason cares stephen dillane wonderful henderson portrays character everyman caught middle extraordinary events dillane avoids making character overly heroic preachy henderson realizes save world wonderful opportunity dillane suffer denis leary sandra bullock disaster sea woody harrelson continues prove finest versatile actors generation harrelson plays cocky celebrity reporter heart gold allowing character caring nature vulnerability shine harrelson equally adept taking roles zany leading men cheers white men jump excellent supporting roles ability serve give long successful career america involvement struggle years events movie place full understanding history conflict entire movie importantly opening scenes provide history lesson war foreign concept america battles fought thousands miles people attachment televised images gulf war experience war picture brings living room makes small world don america "	12	"Positive"
